,商品名称,商品编号,店铺,商品毛重,品牌,搭配主板,搭配主板(Intel),搭配主板(AMD),接口,板型,处理器,产品净重,产品尺寸（mm）,核心数,制程工艺,质保期,型号,是否自带风扇,是否支持核显,适用场景,主频,三级缓存,功率,商品产地,适用游戏,线程数量,类型,二级缓存,质保年限,图案,电压
271,英特尔i7-11700K,100018204802,,80.00g,英特尔(Intel),,,,INTELLGA1200,,英特尔,,,八核,14纳米,,酷睿i7,不带风扇,支持核显,游戏/影音,3.60GHz,16MB,125W,马来西亚/越南/中国大陆,,16线程,游戏/影音,,3年质保,,
272,AMD锐龙ryzenR3R5R7R9处理器CPU台式机电脑盒装套装R95950X16核32线程盒装,51086158739,智中和电脑配件专营店,1.6kg,AMD,B550，X570,,B550，X570,AMDAM4,,AMD,,,八核,7纳米,,锐龙R5,不带风扇,不支持核显,,3.4,64MB,105W,,英雄联盟，魔兽世界，剑灵,16线程,,,3年质保,,
273,AMD锐龙R5/R75600G5600X5800x5700G搭技嘉B550主板CPU套装技嘉B550MAORUSELITEAMDRyzen75700G盒装,10035080174791,灵竞DIY旗舰店,2.0kg,AMD,B550,,,AMDAM4,M-ATX（紧凑型）,锐龙7,2.5kg,30.5公分x24.4公分,,,,,,,,,,,中国大陆,,,,,,,
274,英特尔i7-11700K,100018204802,,80.00g,英特尔(Intel),,,,INTELLGA1200,,英特尔,,,八核,14纳米,,酷睿i7,不带风扇,支持核显,游戏/影音,3.60GHz,16MB,125W,马来西亚/越南/中国大陆,,16线程,游戏/影音,,3年质保,,
275,英特尔i7-11700K,100018204802,,80.00g,英特尔(Intel),,,,INTELLGA1200,,英特尔,,,八核,14纳米,,酷睿i7,不带风扇,支持核显,游戏/影音,3.60GHz,16MB,125W,马来西亚/越南/中国大陆,,16线程,游戏/影音,,3年质保,,
276,英特尔i5-10400F,100006897507,,270.00g,英特尔(Intel),B460,B460,,INTELLGA1200,,英特尔,,,六核,14纳米,,酷睿i5,带风扇,不支持核显,家用/办公,2.90GHz,12MB,65W,马来西亚/越南/中国大陆,,,,,3年质保,,
277,AMDThreadripperPro3955WX,10029664347213,新东海晨旭电脑配件专营店,0.98kg,AMD,其他,,其他,AMDsTRX4,,AMD,,,十六核,7纳米,,线程撕裂者,不带风扇,不支持核显,,3.9GHz,8MB,其他,中国大陆,,,,,3年质保,,
278,AMD锐龙ryzenR3R5R7R9处理器CPU台式机电脑盒装套装R95900X12核24线程盒装,42369453644,智中和电脑配件专营店,1.6kg,AMD,B550，X570,,B550，X570,AMDAM4,,AMD,,,八核,7纳米,,锐龙R5,不带风扇,不支持核显,,3.7,64MB,105W,,英雄联盟，魔兽世界，剑灵,,,,3年质保,,
279,AMD锐龙ryzenR3R5R7R9处理器CPU台式机电脑盒装套装R95950X16核32线程盒装,51086158739,智中和电脑配件专营店,1.6kg,AMD,B550，X570,,B550，X570,AMDAM4,,AMD,,,八核,7纳米,,锐龙R5,不带风扇,不支持核显,,3.4,64MB,105W,,英雄联盟，魔兽世界，剑灵,16线程,,,3年质保,,
280,英特尔i7-11700K,100018204802,,80.00g,英特尔(Intel),,,,INTELLGA1200,,英特尔,,,八核,14纳米,,酷睿i7,不带风扇,支持核显,游戏/影音,3.60GHz,16MB,125W,马来西亚/越南/中国大陆,,16线程,游戏/影音,,3年质保,,
281,AMD锐龙ryzenR3R5R7R9处理器CPU台式机电脑盒装套装R95950X16核32线程盒装,51086158739,智中和电脑配件专营店,1.6kg,AMD,B550，X570,,B550，X570,AMDAM4,,AMD,,,八核,7纳米,,锐龙R5,不带风扇,不支持核显,,3.4,64MB,105W,,英雄联盟，魔兽世界，剑灵,16线程,,,3年质保,,
282,英特尔（Intel）i5-11400F,10027670672827,英特尔解决方案官方旗舰店,500.00g,英特尔(Intel),,,,INTELLGA1200,,英特尔,,,八核,14纳米,,酷睿i5,不带风扇,支持核显,游戏/影音,3.5,16MB,125W,,最终幻想13，英雄联盟，魔兽世界,16线程,游戏/影音,,3年质保,,
283,AMDThreadripperPro3955WX,10029664347213,新东海晨旭电脑配件专营店,0.98kg,AMD,其他,,其他,AMDsTRX4,,AMD,,,十六核,7纳米,,线程撕裂者,不带风扇,不支持核显,,3.9GHz,8MB,其他,中国大陆,,,,,3年质保,,
284,英特尔（Intel)10代酷睿电脑办公盒装处理器CPUi510400f10600kfi5-10400F【无核显6核12线程】,10028928618781,都市驼铃电脑配件专营店,275.00g,英特尔(Intel),,,,INTELLGA1200,,英特尔,,,六核,14纳米,,酷睿i5,带风扇,不支持核显,,2.9,其他,65W,,,12线程,,,3年质保,,
285,英特尔i3-10105F,100011125511,,320.00g,英特尔(Intel),,,,INTELLGA1200,,英特尔,,,四核,14纳米,,酷睿i3,带风扇,不支持核显,家用/办公,3.70GHz,6MB,65W,马来西亚/越南/中国大陆,,,,,3年质保,,
286,英特尔（Intel)10代酷睿电脑办公盒装处理器CPUi510400f10600kfi5-10400F【无核显6核12线程】,10028928618781,都市驼铃电脑配件专营店,275.00g,英特尔(Intel),,,,INTELLGA1200,,英特尔,,,六核,14纳米,,酷睿i5,带风扇,不支持核显,,2.9,其他,65W,,,12线程,,,3年质保,,
287,英特尔i3-10105F,100011125511,,320.00g,英特尔(Intel),,,,INTELLGA1200,,英特尔,,,四核,14纳米,,酷睿i3,带风扇,不支持核显,家用/办公,3.70GHz,6MB,65W,马来西亚/越南/中国大陆,,,,,3年质保,,
288,英特尔i7-11700K,100018204802,,80.00g,英特尔(Intel),,,,INTELLGA1200,,英特尔,,,八核,14纳米,,酷睿i7,不带风扇,支持核显,游戏/影音,3.60GHz,16MB,125W,马来西亚/越南/中国大陆,,16线程,游戏/影音,,3年质保,,
289,英特尔（Intel）37.5mmx37.5mm,10023112411032,华之硕电脑专营店,270.00g,英特尔(Intel),,,,INTELLGA1200,,英特尔,,,双核,14纳米,,奔腾,带风扇,支持核显,,4.00GHz,其他,45W,,,,,,3年质保,,
290,英特尔（Intel）酷睿i710700K10700KF10700F全新中文盒装CPU处理器电脑i711700K中文盒装带核显可超频,58484858324,得丰隆电脑配件专营店,260.00g,英特尔(Intel),,,,INTELLGA1200,,英特尔,,,八核,14纳米,,酷睿i7,不带风扇,支持核显,,3.6GHz,16MB,125W,,,16线程,,,3年质保,,
291,Intel/英特尔i59400F9600KF搭微星华硕B365Z390CPU主板套装中文盒装I39100盒装带集显,10023263992244,星致琪电脑办公专营店,2.0kg,英特尔(Intel),B365,,,INTEL1151（九代）,M-ATX（紧凑型）,Inteli3,2kg,300*300,,,,,,,,,,,,,,,,,,
292,英特尔i5-10400F,100006897507,,270.00g,英特尔(Intel),B460,B460,,INTELLGA1200,,英特尔,,,六核,14纳米,,酷睿i5,带风扇,不支持核显,家用/办公,2.90GHz,12MB,65W,马来西亚/越南/中国大陆,,,,,3年质保,,
293,英特尔i7-11700K,100018204802,,80.00g,英特尔(Intel),,,,INTELLGA1200,,英特尔,,,八核,14纳米,,酷睿i7,不带风扇,支持核显,游戏/影音,3.60GHz,16MB,125W,马来西亚/越南/中国大陆,,16线程,游戏/影音,,3年质保,,
294,AMDCPU主板套装R5/R75600G5600X5700G5800X搭技嘉B550技嘉B450MHAMDRyzen53600散片,55498807943,爵扬旗舰店,1.5kg,AMD,B450,,,AMDAM4,M-ATX（紧凑型）,锐龙5,2.5kg,300*200*100,,,,,,,,,,,,,,,,,,
295,AMDThreadripperPro3955WX,10029664347213,新东海晨旭电脑配件专营店,0.98kg,AMD,其他,,其他,AMDsTRX4,,AMD,,,十六核,7纳米,,线程撕裂者,不带风扇,不支持核显,,3.9GHz,8MB,其他,中国大陆,,,,,3年质保,,
296,AMD锐龙ryzenR3R5R7R9处理器CPU台式机电脑盒装套装R95900X12核24线程盒装,42369453644,智中和电脑配件专营店,1.6kg,AMD,B550，X570,,B550，X570,AMDAM4,,AMD,,,八核,7纳米,,锐龙R5,不带风扇,不支持核显,,3.7,64MB,105W,,英雄联盟，魔兽世界，剑灵,,,,3年质保,,
297,AMD锐龙ryzenR3R5R7R9处理器CPU台式机电脑盒装套装R95950X16核32线程盒装,51086158739,智中和电脑配件专营店,1.6kg,AMD,B550，X570,,B550，X570,AMDAM4,,AMD,,,八核,7纳米,,锐龙R5,不带风扇,不支持核显,,3.4,64MB,105W,,英雄联盟，魔兽世界，剑灵,16线程,,,3年质保,,
298,AMD锐龙R5/R75600G5600X5800x5700G搭技嘉B550主板CPU套装技嘉B550MAORUSELITEAMDRyzen75800X盒装,10024069137399,灵竞DIY旗舰店,2.0kg,AMD,B550,,,AMDAM4,M-ATX（紧凑型）,其他,2.5kg,30.5公分x24.4公分,,,,,,,,,,,中国大陆,,,,,,,
299,AMD锐龙RyzenR32200gR52400g2600X2700XCPU处理器散片标配,10035931679938,中盛车品优创店,1.0kg,AMD,,,,,,,,,,,,2600,,,,,,,,,,,,,卡通,
300,AMD锐龙R5/R75600G5600X5800x5700G搭技嘉B550主板CPU套装技嘉B550MAORUSELITEAMDRyzen75800X盒装,10024069137399,灵竞DIY旗舰店,2.0kg,AMD,B550,,,AMDAM4,M-ATX（紧凑型）,其他,2.5kg,30.5公分x24.4公分,,,,,,,,,,,中国大陆,,,,,,,
301,AMD锐龙RyzenR32200gR52400g2600X2700XCPU处理器散片标配,10035931679938,中盛车品优创店,1.0kg,AMD,,,,,,,,,,,,2600,,,,,,,,,,,,,卡通,
302,英特尔intel酷睿i3i5i7CPU办公电脑DIY吃鸡电竞CPU1151针脚i7-8700(6核12线程3.2G12M),66225247631,奥伟电脑办公专营店,390.00g,英特尔(Intel),,,,,,英特尔,,,,,,酷睿i7,,,,,其他,95W,,,,,,,,
303,AMDCPU主板套装R5/R75600G5600X5700G5800X搭技嘉B550技嘉B450MHAMDRyzen53600散片,55498807943,爵扬旗舰店,1.5kg,AMD,B450,,,AMDAM4,M-ATX（紧凑型）,锐龙5,2.5kg,300*200*100,,,,,,,,,,,,,,,,,,
304,英特尔（Intel）酷睿i3i5i7i9CPU处理器台式机电脑全新盒装i59400F无集显六核六线程,42481365543,智中和电脑配件专营店,200.00g,英特尔(Intel),B365，Z390，B360，H310,B365，Z390，B360，H310,,INTEL1151（九代）,,英特尔,,,六核,14纳米,,酷睿i5,带风扇,不支持核显,游戏/影音,2.9GHz,其他,其他,,英雄联盟，穿越火线，吃鸡游戏,6线程,游戏/影音,,3年质保,,
305,Intel/英特尔i59400F9600KF搭微星华硕B365Z390CPU主板套装中文盒装I39100盒装带集显,10023263992244,星致琪电脑办公专营店,2.0kg,英特尔(Intel),B365,,,INTEL1151（九代）,M-ATX（紧凑型）,Inteli3,2kg,300*300,,,,,,,,,,,,,,,,,,
306,AMD锐龙ryzenR3R5R7R9处理器CPU台式机电脑盒装套装R52600X6核12线程【二代】,42369453645,智中和电脑配件专营店,1.6kg,AMD,B450，A320,,B450，A320,AMDAM4,,AMD,,,六核,14纳米,,锐龙R5,带风扇,不支持核显,游戏/影音,3.6,其他,其他,,英雄联盟，穿越火线，仙剑七,12线程,游戏/影音,,3年质保,,
307,AMD锐龙ryzenR3R5R7R9处理器CPU台式机电脑盒装套装R52600X6核12线程【二代】,42369453645,智中和电脑配件专营店,1.6kg,AMD,B450，A320,,B450，A320,AMDAM4,,AMD,,,六核,14纳米,,锐龙R5,带风扇,不支持核显,游戏/影音,3.6,其他,其他,,英雄联盟，穿越火线，仙剑七,12线程,游戏/影音,,3年质保,,
308,英特尔（Intel）酷睿i3i5i7i9CPU处理器台式机电脑全新盒装i59400F无集显六核六线程,42481365543,智中和电脑配件专营店,200.00g,英特尔(Intel),B365，Z390，B360，H310,B365，Z390，B360，H310,,INTEL1151（九代）,,英特尔,,,六核,14纳米,,酷睿i5,带风扇,不支持核显,游戏/影音,2.9GHz,其他,其他,,英雄联盟，穿越火线，吃鸡游戏,6线程,游戏/影音,,3年质保,,
309,英特尔（Intel）酷睿i99900KF中文盒装处理器台式电脑CPUi9中文盒装三年质保i99900KF八核十六线程,43846577908,灵竞DIY旗舰店,2.5kg,英特尔(Intel),Z390,Z390,,INTEL1151（九代）,,英特尔,,,八核,14纳米,,酷睿i9,不带风扇,不支持核显,发烧/超频,3.6GHz,16MB,95W,其他,守望先锋，DOTA2，GTA5,16线程,发烧/超频,,3年质保,,
310,英特尔i5-10400,100012590222,,260.00g,英特尔(Intel),B460,B460,,INTELLGA1200,,英特尔,,,六核,14纳米,,酷睿i5,带风扇,支持核显,家用/办公,2.90GHz,12MB,65W,马来西亚/越南/中国大陆,,,,,3年质保,,
311,"英特尔（Intel）酷睿10代i31010510105FG6405处理器H510主板CPU套装中文盒装质保三年	i310105F4核8线程无核显带散热",68905955216,得丰隆电脑配件专营店,1.5kg,英特尔(Intel),H510,,,,ATX（标准型）,Inteli3,2kg,300,,,,,,,,,,,,,,,,,,
312,英特尔i3-10105F,100011125511,,320.00g,英特尔(Intel),,,,INTELLGA1200,,英特尔,,,四核,14纳米,,酷睿i3,带风扇,不支持核显,家用/办公,3.70GHz,6MB,65W,马来西亚/越南/中国大陆,,,,,3年质保,,
313,英特尔intel酷睿i3i5i7CPU办公电脑DIY吃鸡电竞CPU1151针脚i7-8700(6核12线程3.2G12M),66225247631,奥伟电脑办公专营店,390.00g,英特尔(Intel),,,,,,英特尔,,,,,,酷睿i7,,,,,其他,95W,,,,,,,,
314,"英特尔（Intel）酷睿10代i31010510105FG6405处理器H510主板CPU套装中文盒装质保三年	i310105F4核8线程无核显带散热",68905955216,得丰隆电脑配件专营店,1.5kg,英特尔(Intel),H510,,,,ATX（标准型）,Inteli3,2kg,300,,,,,,,,,,,,,,,,,,
315,【二手99新】intel/英特尔酷睿I7-4790K4690K46906600kI7I36100盒装全新,67554253847,皖美二手电脑专营店,1.0kg,英特尔(Intel),,,,,,,,,,,,,,,,,,,,,,,,,,
316,AMDCPU主板套装R5/R75600G5600X5700G5800X搭技嘉B550技嘉B450MHAMDRyzen53600散片,55498807943,爵扬旗舰店,1.5kg,AMD,B450,,,AMDAM4,M-ATX（紧凑型）,锐龙5,2.5kg,300*200*100,,,,,,,,,,,,,,,,,,
