,商品名称,商品编号,店铺,商品毛重,品牌,搭配主板,搭配主板(Intel),搭配主板(AMD),接口,板型,处理器,产品净重,产品尺寸（mm）,核心数,制程工艺,质保期,型号,是否自带风扇,是否支持核显,适用场景,主频,三级缓存,功率,商品产地,适用游戏,线程数量,类型,二级缓存,质保年限,图案,电压
71,AMD锐龙55600X处理器,100016046824,,440.00g,AMD,B550，X570,,B550，X570,AMDAM4,,AMD,,,六核,7纳米,3年质保,锐龙R5,带风扇,不支持核显,家用/办公,3.7GHz,32MB,65W,美国/德国/新加坡/台湾/中国大陆/马来西亚,,12线程,家用/办公,3MB,,,
72,英特尔Intel酷睿i910900KF11900K10980XE中文盒装CPU处理器台式机电脑i910900X10核20线程中文原装,71565841091,得丰隆电脑配件专营店,500.00g,英特尔(Intel),X299,X299,,INTELLGA2066,,英特尔,,,十核,14纳米,3年质保,酷睿i9,不带风扇,不支持核显,设计/影像,3.7GHZ,其他,其他,,,,,,,,
73,英特尔i5-11600KF,100018204760,,80.00g,英特尔(Intel),,,,INTELLGA1200,,英特尔,,,六核,14纳米,3年质保,酷睿i5,不带风扇,不支持核显,家用/办公,3.90GHz,其他,125W,马来西亚/越南/中国大陆,,12线程,家用/办公,,,,
74,AMD锐龙55600X处理器,100016046824,,440.00g,AMD,B550，X570,,B550，X570,AMDAM4,,AMD,,,六核,7纳米,3年质保,锐龙R5,带风扇,不支持核显,家用/办公,3.7GHz,32MB,65W,美国/德国/新加坡/台湾/中国大陆/马来西亚,,12线程,家用/办公,3MB,,,
75,AMD锐龙ryzenR3R5R7R9处理器CPU台式机电脑盒装套装R95900X12核24线程盒装,42369453644,智中和电脑配件专营店,1.6kg,AMD,B550，X570,,B550，X570,AMDAM4,,AMD,,,八核,7纳米,3年质保,锐龙R5,不带风扇,不支持核显,,3.7,64MB,105W,,英雄联盟，魔兽世界，剑灵,,,,,,
76,英特尔（Intel）酷睿i710700F11700Fi711700盒装电脑处理器CPU主板套装B560MH板U套装i711700F2.5GHz8核16线程,54272060290,灵竞DIY旗舰店,0.9kg,英特尔(Intel),B560,,,INTELLGA1200，INTEL1151（九代）,M-ATX（紧凑型）,Inteli7,1.5kg,100,,,,,,,,,,,,,,,,,,
77,英特尔i7-11700F,100010283145,,320.00g,英特尔(Intel),,,,INTELLGA1200,,英特尔,,,八核,14纳米,3年质保,酷睿i7,带风扇,不支持核显,游戏/影音,2.50GHz,16MB,65W,马来西亚/越南/中国大陆,,16线程,游戏/影音,,,,
78,AMD锐龙ryzenR3R5R7R9处理器CPU台式机电脑盒装套装R95900X12核24线程盒装,42369453644,智中和电脑配件专营店,1.6kg,AMD,B550，X570,,B550，X570,AMDAM4,,AMD,,,八核,7纳米,3年质保,锐龙R5,不带风扇,不支持核显,,3.7,64MB,105W,,英雄联盟，魔兽世界，剑灵,,,,,,
79,AMD锐龙55600X处理器,100016046824,,440.00g,AMD,B550，X570,,B550，X570,AMDAM4,,AMD,,,六核,7纳米,3年质保,锐龙R5,带风扇,不支持核显,家用/办公,3.7GHz,32MB,65W,美国/德国/新加坡/台湾/中国大陆/马来西亚,,12线程,家用/办公,3MB,,,
80,AMD锐龙ryzenR3R5R7R9处理器CPU台式机电脑盒装套装R95950X16核32线程盒装,51086158739,智中和电脑配件专营店,1.6kg,AMD,B550，X570,,B550，X570,AMDAM4,,AMD,,,八核,7纳米,3年质保,锐龙R5,不带风扇,不支持核显,,3.4,64MB,105W,,英雄联盟，魔兽世界，剑灵,16线程,,,,,
81,AMD锐龙55600X处理器,100016046824,,440.00g,AMD,B550，X570,,B550，X570,AMDAM4,,AMD,,,六核,7纳米,3年质保,锐龙R5,带风扇,不支持核显,家用/办公,3.7GHz,32MB,65W,美国/德国/新加坡/台湾/中国大陆/马来西亚,,12线程,家用/办公,3MB,,,
82,英特尔i5-11600KF,100018204760,,80.00g,英特尔(Intel),,,,INTELLGA1200,,英特尔,,,六核,14纳米,3年质保,酷睿i5,不带风扇,不支持核显,家用/办公,3.90GHz,其他,125W,马来西亚/越南/中国大陆,,12线程,家用/办公,,,,
83,英特尔i7-11700,100018204790,,325.00g,英特尔(Intel),,,,INTELLGA1200,,英特尔,,,八核,14纳米,3年质保,酷睿i7,带风扇,支持核显,游戏/影音,2.50GHz,16MB,65W,马来西亚/越南/中国大陆,,16线程,游戏/影音,,,,
84,英特尔（Intel）i911900K/i711700K/i910850K盒CPU处理器i711700K【8核16线程】,10028447859865,东扬电脑配件专营店,2.0kg,英特尔(Intel),,,,INTELLGA1200,,英特尔,,,八核,14纳米,3年质保,酷睿i9,不带风扇,支持核显,,3.6GHZ,16MB,65W,,,,,,,,
85,AMD锐龙ryzenR3R5R7R9处理器CPU台式机电脑盒装套装R73700X8核16线程【三代】盒装,53792649059,智中和电脑配件专营店,1.6kg,AMD,X570，B450,,X570，B450,AMDAM4,,AMD,,,八核,7纳米,3年质保,锐龙R5,带风扇,不支持核显,发烧/超频,3.6,其他,其他,,英雄联盟，穿越火线，吃鸡游戏,16线程,发烧/超频,,,,
