,商品名称,商品编号,店铺,商品毛重,货号,商品产地,热管数量,水冷类型,型号,风量,散热片材质,散热器高度,电源接口,散热器尺寸,散热方式,风扇转速（RPM）,电压,类型,建议机箱,灯效,品牌,噪音(dB(A)),兼容接口,背板材质,类别,风冷鳍片,风冷底座
94,,,,,,,,,冷山RGB同步版,,,其他,USB供电,散热器尺寸,水冷,风扇转速（RPM）,电压,,,,,,,,,,
95,Thermaltake（Tt）CL-W310-PL24SW-A,100009286105,,2.055kg,,中国大陆,,360冷排,枭龙360,68.04,,25mm,4pin,120X120X25mm,水冷,900-1800,12V,一体式水冷散热器,,ARGB,TT,33.16,INTELLGA2066，INTEL1151（九代），AMDTR4，AMD其他，INTEL1151（八代），INTEL其他，AMDAM4,,,,
96,京天（KOTIN）定制12cm机箱风扇/台式电脑主机静音LED炫光/机箱散热风扇冰魄蓝双光圈,67048883433,京天DIY电脑旗舰店,0.888kg,,,,,120,800,阻燃,22mm,4pin,120*25,风冷,1200RPM±10%,12V,机箱风扇,,,,,,,,,
97,,,,,,,,,冷山RGB同步版,,,其他,USB供电,散热器尺寸,水冷,风扇转速（RPM）,电压,,,,,,,,,,
98,九州风神堡垒/水元素幻彩120/240/360CPU一体式水冷散热器泄压冷排ARGB风扇堡垒360RGB版V2+MG-8高导热硅脂,10034106451596,京天DIY电脑旗舰店,2.0kg,,中国大陆,无热管,360冷排,120/240/360,85,铜,27mm,4pin,282x120x27mm,水冷,500~1800,12VDC（水泵额定电压）,,,,,,,,,,
99,京天（KOTIN）12CMRGB风扇光圈/减震/静音/组装电脑主机机箱散热风扇神光同步九州魔影套装（3个120RGB5V）,10020937413180,京天DIY电脑旗舰店,200.00g,,,,,风冷,800,塑料,5mm,4pin,120X120X25mm,风冷,500±200-1500±10%RPM,12v,,,,,,,,,,
100,华硕ROG龙神360,100001108885,,2.83kg,,中国大陆,,360冷排,华硕（ASUS）ROG龙神360一体式CPU水冷散热器,121.8,,70mm,4pin,394x121x27mm,水冷,2000,12V,一体式水冷散热器,,RGB,华硕ASUS,29.7,AMDsTRX4，INTELLGA2066，INTELLGA1200，INTEL1151（九代），INTEL1151（八代），AMDTR4，AMDAM4，整合CPU主板,塑料,,,
101,,46230229450,,,,,,,,,,,,,,,,,,,,,,,,,
102,九州风神堡垒/水元素幻彩120/240/360CPU一体式水冷散热器泄压冷排ARGB风扇堡垒360RGB版V2+MG-8高导热硅脂,10034106451596,京天DIY电脑旗舰店,2.0kg,,中国大陆,无热管,360冷排,120/240/360,85,铜,27mm,4pin,282x120x27mm,水冷,500~1800,12VDC（水泵额定电压）,,,,,,,,,,
103,,100006668177,,,,,,,,,,,,,,,,,,,,,,,,,
104,大水牛寒战120水冷,100020460176,,1.02kg,,中国大陆,,120冷排,寒战120水冷,54.6CFMMAX,,52mm,4pin,150*120*52mm,水冷,800-1800RPM±10%,12Vdc,一体式水冷散热器,宽度大于180mm,RGB,大水牛（BUBALUS）,,INTELLGA2066，INTELLGA1200，INTEL1151（九代），INTEL1151（八代），AMDAM4，AMDFM2＋,,Intel平台散热器,,
105,大水牛寒战120水冷,100020460176,,1.02kg,,中国大陆,,120冷排,寒战120水冷,54.6CFMMAX,,52mm,4pin,150*120*52mm,水冷,800-1800RPM±10%,12Vdc,一体式水冷散热器,宽度大于180mm,RGB,大水牛（BUBALUS）,,INTELLGA2066，INTELLGA1200，INTEL1151（九代），INTEL1151（八代），AMDAM4，AMDFM2＋,,Intel平台散热器,,
106,九州风神堡垒/水元素幻彩120/240/360CPU一体式水冷散热器泄压冷排ARGB风扇堡垒360RGB版V2+MG-8高导热硅脂,10034106451596,京天DIY电脑旗舰店,2.0kg,,中国大陆,无热管,360冷排,120/240/360,85,铜,27mm,4pin,282x120x27mm,水冷,500~1800,12VDC（水泵额定电压）,,,,,,,,,,
107,,,,,,,,,冷山RGB同步版,,,其他,USB供电,散热器尺寸,水冷,风扇转速（RPM）,电压,,,,,,,,,,
108,大水牛寒战120水冷,100020460176,,1.02kg,,中国大陆,,120冷排,寒战120水冷,54.6CFMMAX,,52mm,4pin,150*120*52mm,水冷,800-1800RPM±10%,12Vdc,一体式水冷散热器,宽度大于180mm,RGB,大水牛（BUBALUS）,,INTELLGA2066，INTELLGA1200，INTEL1151（九代），INTEL1151（八代），AMDAM4，AMDFM2＋,,Intel平台散热器,,
109,,100025195240,,,,,,,,,,,,,,,,,,,,,,,,,
110,,,,,,,,,冷山RGB同步版,,,其他,USB供电,散热器尺寸,水冷,风扇转速（RPM）,电压,,,,,,,,,,
